 Nome ,Idade,CIDADE,Data Admissão,salario (R$),Estado-civil,Cargo ,Telefone
Iris Santos,,rio de janeiro,03/02/2023,1436.2,casado,cientista de dados,nan
  FABIO PEREIRA  ,36.0,recife,09/01/2027,2845.54,casado,estagiario,nan
Leo Lima,35.0,salvador,04/06/2024,2965.52,divorciado,cientista de dados,nan
Will Silva,38.0,fortaleza,30/04/2016,3961.69,viuvo,cientista de dados,nan
Otavio Oliveira,25.0,recife,07/02/2019,1883.76,divorciado,gestor,nan
Iris Santos,24.0,curitiba,22/06/2025,3509.37,casado,desenvolvedor,nan
Xavier Lima,51.0,manaus,16/02/2020,2651.1,casado,analista,nan
Joao Carvalho,32.0,Recife,14/12/2016,3354.44,solteiro,analista,nan
Rita Ferreira,41.0,salvador,20/06/2019,2185.76,viuvo,engenheiro de dados,nan
Marta Souza,44.0,rio de janeiro,10/10/2021,4083.43,divorciado,cientista de dados,nan
Paula Carvalho,48.0,fortaleza,01/04/2024,1699.91,viuvo,estagiario,nan
Tania Lima,27.0,salvador,23/02/2017,2570.73,solteiro,cientista de dados,nan
  RITA ALMEIDA  ,28.0,rio de janeiro,25/06/2024,5455.62,solteiro,cientista de dados,nan
Bruno Oliveira,30.0,Curitiba,28/05/2023,4373.22,divorciado,desenvolvedor,nan
Rita Almeida,39.0,sao paulo,22/08/2024,3392.5,divorciado,estagiario,nan
  BRUNO SILVA  ,28.0,recife,11/03/2020,42492.48,viuvo,desenvolvedor,nan
Eva Silva,33.0,sao paulo,13/09/2024,2351.93,solteiro,analista,nan
Fabio Almeida,32.0,fortaleza,26/05/2018,4900.75,solteiro,analista,(11) 92407-8881
Ulisses Pereira,39.0,rio de janeiro,04/05/2023,2038.07,casado,gestor,nan
Saulo Santos,38.0,fortaleza,11/08/2020,1356.53,divorciado,gestor,nan
Saulo Oliveira,42.0,manaus,29/03/2024,3906.78,viuvo,estagiario,nan
Nina Almeida,31.0,fortaleza,27/02/2016,2048.54,viuvo,desenvolvedor,nan
Diego Souza,31.0,curitiba,04/05/2020,2747.66,casado,analista,nan
Tania Oliveira,,rio de janeiro,13/11/2015,3702.13,divorciado,analista,nan
Katia Lima,44.0,manaus,24/01/2016,2922.63,viuvo,estagiario,nan
Leo Pereira,29.0,Salvador,06/09/2023,,solteiro,engenheiro de dados,nan
Rita Pereira,,recife,02/08/2023,2492.91,casado,gestor,nan
Leo Silva,32.0,,06/06/2016,,viuvo,engenheiro de dados,nan
Saulo Santos,28.0,salvador,13/06/2019,2322.83,viuvo,estagiario,nan
  HEITOR ALMEIDA  ,,salvador,03/02/2016,1897.27,casado,analista,nan
Saulo Santos,33.0,fortaleza,29/01/2019,1243.17,solteiro,estagiario,nan
Ana Ferreira,41.0,salvador,02/09/2019,4109.15,viuvo,desenvolvedor,(11) 98071-4132
Marta Lima,39.0,sao paulo,26/07/2023,3906.89,viuvo,gestor,nan
Diego Santos,31.0,,05/05/2025,4273.82,solteiro,gestor,nan
Joao Rodrigues,50.0,rio de janeiro,30/08/2018,2276.12,,,nan
Diego Ferreira,34.0,fortaleza,27/02/2025,6308.91,viuvo,analista,(11) 92630-2436
Paula Oliveira,45.0,fortaleza,07/06/2022,5276.77,viuvo,cientista de dados,(11) 93303-2157
Carla Rodrigues,30.0,salvador,19/05/2018,14604.48,divorciado,engenheiro de dados,nan
Saulo Lima,40.0,recife,16/05/2023,3609.98,viuvo,gestor,(11) 96600-6626
Ana Silva,52.0,belo  horizonte,19/11/2018,1458.84,divorciado,cientista de dados,nan
Marta Lima,50.0,salvador,06/09/2021,4426.71,casado,cientista de dados,nan
Fabio Ferreira,31.0,curitiba,07/09/2016,2856.81,divorciado,gestor,(11) 96386-5250
Iris Pereira,23.0,sao paulo,08/11/2024,2972.4,casado,cientista de dados,nan
Heitor Lima,49.0,salvador,24/07/2018,1028.17,divorciado,gestor,nan
  TANIA PEREIRA  ,32.0,salvador,23/06/2025,1201.6,divorciado,cientista de dados,nan
  CARLA SANTOS  ,41.0,,14/08/2015,3373.31,casado,desenvolvedor,nan
Iris Carvalho,47.0,salvador,02/01/2020,2900.96,viuvo,desenvolvedor,nan
Tania Souza,44.0,curitiba,01/11/2024,2461.07,casado,estagiario,nan
Tania Almeida,35.0,curitiba,09/07/2020,3413.65,casado,engenheiro de dados,nan
Saulo Silva,26.0,recife,21/05/2019,3362.08,solteiro,cientista de dados,nan
Saulo Santos,39.0,manaus,07/09/2016,3112.7,viuvo,engenheiro de dados,nan
Fabio Ferreira,24.0,recife,25/03/2023,1821.2,,engenheiro de dados,nan
Ana Pereira,19.0,recife,27/05/2023,2271.25,divorciado,cientista de dados,nan
Iris Oliveira,42.0,rio de janeiro,16/07/2025,3471.48,solteiro,analista,nan
Eva Carvalho,36.0,recife,27/10/2015,2744.77,divorciado,engenheiro de dados,nan
Heitor Lima,,salvador,12/10/2019,2278.25,casado,analista,nan
Marta Ferreira,26.0,recife,15/08/2016,4810.72,solteiro,estagiario,nan
Rita Carvalho,24.0,sao paulo,01/03/2019,3332.24,solteiro,engenheiro de dados,nan
Tania Oliveira,36.0,curitiba,10/11/2024,3219.98,,gestor,nan
Nina Oliveira,29.0,Fortaleza,02/12/2019,3924.14,casado,analista,nan
Gabi Ferreira,47.0,Recife,26/01/2017,4116.8,solteiro,engenheiro de dados,nan
Saulo Silva,50.0,belo  horizonte,05/08/2015,6683.3,solteiro,gestor,nan
Yasmin Oliveira,31.0,Curitiba,09/01/2017,1950.29,viuvo,desenvolvedor,nan
Zeca Oliveira,45.0,salvador,01/09/2023,2205.31,divorciado,gestor,nan
Tania Oliveira,40.0,sao paulo,10/06/2015,1697.47,divorciado,cientista de dados,nan
Ana Silva,29.0,,15/05/2025,5706.48,solteiro,engenheiro de dados,nan
Iris Rodrigues,29.0,manaus,01/11/2023,1974.81,divorciado,gestor,nan
Heitor Carvalho,28.0,curitiba,03/05/2024,2984.46,,gestor,nan
  TANIA SOUZA  ,32.0,recife,02/11/2020,2156.26,solteiro,engenheiro de dados,nan
Paula Souza,28.0,sao paulo,10/01/2020,2952.91,casado,gestor,nan
Ulisses Carvalho,34.0,salvador,23/11/2019,4901.58,solteiro,engenheiro de dados,nan
Carla Carvalho,24.0,sao paulo,02/06/2017,2067.39,viuvo,desenvolvedor,nan
Zeca Carvalho,42.0,recife,23/06/2022,3554.63,solteiro,cientista de dados,nan
Diego Santos,38.0,fortaleza,02/11/2022,1878.92,solteiro,estagiario,nan
Gabi Souza,38.0,curitiba,31/10/2027,3441.62,divorciado,cientista de dados,nan
Vera Oliveira,28.0,rio de janeiro,04/07/2017,5209.18,solteiro,estagiario,nan
Paula Carvalho,33.0,belo  horizonte,17/11/2020,3309.65,divorciado,desenvolvedor,nan
Eva Carvalho,34.0,recife,24/02/2020,5843.96,viuvo,engenheiro de dados,nan
Zeca Silva,19.0,Recife,15/11/2019,,solteiro,analista,nan
Nina Pereira,10.0,,18/03/2022,2900.8,casado,cientista de dados,nan
Gabi Oliveira,31.0,fortaleza,02/04/2023,2959.55,viuvo,desenvolvedor,nan
Vera Santos,38.0,rio de janeiro,18/11/2023,3884.59,casado,gestor,(11) 98967-9756
Bruno Santos,17.0,salvador,10/03/2016,1748.94,solteiro,analista,nan
Iris Pereira,37.0,fortaleza,07/01/2022,,viuvo,desenvolvedor,nan
Katia Pereira,41.0,Rio De Janeiro,05/05/2015,5729.2,divorciado,analista,nan
Saulo Pereira,42.0,manaus,27/12/2024,1704.67,casado,desenvolvedor,nan
Joao Oliveira,33.0,rio de janeiro,05/02/2015,2364.78,solteiro,analista,nan
Eva Pereira,28.0,sao paulo,04/04/2017,1449.72,casado,desenvolvedor,(11) 99474-4768
  WILL SANTOS  ,32.0,sao paulo,25/06/2018,4794.13,viuvo,gestor,nan
Vera Oliveira,44.0,recife,19/02/2019,4038.84,solteiro,analista,nan
Gabi Lima,36.0,Rio De Janeiro,20/04/2016,2639.76,viuvo,gestor,nan
  TANIA ALMEIDA  ,47.0,recife,24/02/2017,2366.12,divorciado,engenheiro de dados,nan
Tania Pereira,19.0,salvador,04/01/2020,3466.54,solteiro,desenvolvedor,nan
Katia Rodrigues,32.0,manaus,09/06/2024,-1025.5706270063165,casado,desenvolvedor,nan
Paula Silva,44.0,salvador,26/07/2015,4785.52,divorciado,analista,(11) 91089-8960
  TANIA LIMA  ,57.0,Recife,03/05/2025,2962.5,viuvo,estagiario,nan
Will Almeida,37.0,Recife,29/01/2015,4269.56,casado,estagiario,(11) 94894-4584
Zeca Souza,30.0,salvador,11/10/2015,,solteiro,cientista de dados,nan
Tania Santos,22.0,sao paulo,23/10/2019,4026.45,casado,analista,nan
Leo Oliveira,37.0,fortaleza,09/12/2021,3548.61,viuvo,analista,nan
Rita Souza,47.0,Manaus,01/01/2020,4849.8,solteiro,engenheiro de dados,nan
  HEITOR SILVA  ,29.0,curitiba,21/11/2019,3446.4,viuvo,cientista de dados,nan
Paula Oliveira,46.0,curitiba,07/04/2020,7296.38,viuvo,engenheiro de dados,nan
Eva Lima,20.0,sao paulo,12/02/2017,3064.4,divorciado,analista,nan
Leo Souza,32.0,rio de janeiro,21/09/2023,2673.62,divorciado,engenheiro de dados,nan
Will Almeida,38.0,sao paulo,14/05/2018,2320.12,casado,engenheiro de dados,nan
Katia Pereira,30.0,Belo Horizonte,16/02/2020,4490.25,solteiro,desenvolvedor,nan
Joao Souza,46.0,manaus,19/07/2025,2839.48,divorciado,analista,nan
Rita Santos,21.0,salvador,18/03/2027,4073.46,viuvo,cientista de dados,nan
Ana Rodrigues,21.0,recife,17/11/2019,3161.89,viuvo,cientista de dados,nan
Gabi Rodrigues,32.0,,25/05/2021,4487.56,casado,estagiario,nan
Tania Santos,33.0,salvador,15/01/2023,2624.39,solteiro,analista,nan
Will Ferreira,35.0,sao paulo,24/06/2022,3527.18,solteiro,desenvolvedor,nan
Katia Silva,49.0,sao paulo,25/09/2023,3750.06,viuvo,cientista de dados,(11) 92503-4596
Yasmin Silva,54.0,,10/12/2019,3667.69,divorciado,gestor,nan
Diego Lima,31.0,belo  horizonte,09/08/2027,2857.88,divorciado,estagiario,nan
Iris Almeida,46.0,Sao Paulo,18/09/2017,7555.81,solteiro,engenheiro de dados,nan
Will Silva,12.0,,22/05/2021,3232.59,casado,cientista de dados,nan
  BRUNO SOUZA  ,44.0,fortaleza,29/11/2017,2162.26,divorciado,cientista de dados,nan
Gabi Santos,27.0,salvador,24/01/2019,4508.08,divorciado,cientista de dados,nan
Heitor Silva,,curitiba,24/12/2015,8179.46,viuvo,,nan
Saulo Santos,47.0,rio de janeiro,12/10/2021,2082.61,casado,analista,nan
Carla Souza,45.0,curitiba,08/06/2025,1475.76,casado,estagiario,nan
Rita Santos,42.0,Belo Horizonte,31/10/2015,4470.94,casado,analista,nan
  HEITOR RODRIGUES  ,27.0,sao paulo,15/11/2023,2857.69,casado,cientista de dados,nan
  MARTA OLIVEIRA  ,31.0,recife,08/02/2016,5863.73,viuvo,gestor,nan
Yasmin Rodrigues,28.0,salvador,21/05/2019,2153.39,viuvo,desenvolvedor,nan
Ana Oliveira,46.0,sao paulo,29/03/2020,2343.92,divorciado,engenheiro de dados,nan
Marta Santos,29.0,manaus,31/12/2022,1830.8,casado,gestor,(11) 97400-7492
Ulisses Lima,38.0,Curitiba,20/05/2017,6139.25,solteiro,engenheiro de dados,nan
Carla Ferreira,37.0,rio de janeiro,12/02/2021,2186.31,casado,engenheiro de dados,nan
Vera Almeida,34.0,sao paulo,05/01/2018,2330.81,solteiro,cientista de dados,nan
Ulisses Carvalho,,curitiba,28/01/2025,6846.04,casado,desenvolvedor,nan
Heitor Souza,49.0,sao paulo,05/01/2016,3674.96,solteiro,engenheiro de dados,nan
Iris Lima,32.0,curitiba,12/05/2024,2392.69,solteiro,analista,nan
Iris Silva,39.0,fortaleza,16/07/2019,2640.43,divorciado,gestor,nan
Vera Santos,45.0,curitiba,14/06/2020,2394.06,viuvo,cientista de dados,nan
Marta Pereira,27.0,Recife,29/12/2017,5716.5,casado,gestor,nan
Will Silva,39.0,sao paulo,20/03/2024,5128.15,divorciado,estagiario,nan
Zeca Santos,28.0,sao paulo,03/12/2027,2570.94,casado,cientista de dados,nan
Diego Almeida,39.0,sao paulo,06/01/2020,6712.99,divorciado,analista,nan
  ANA PEREIRA  ,25.0,belo  horizonte,26/02/2025,2481.27,divorciado,desenvolvedor,nan
Leo Oliveira,44.0,fortaleza,20/01/2022,3758.05,casado,estagiario,(11) 95642-1574
  EVA ALMEIDA  ,23.0,rio de janeiro,14/09/2022,4263.67,viuvo,estagiario,nan
Leo Almeida,43.0,Rio De Janeiro,10/08/2019,2284.39,viuvo,cientista de dados,nan
Rita Lima,45.0,salvador,11/04/2015,6936.79,solteiro,analista,nan
Rita Silva,45.0,fortaleza,05/10/2020,3656.93,solteiro,engenheiro de dados,nan
Xavier Santos,24.0,fortaleza,28/02/2024,4322.82,viuvo,estagiario,nan
Zeca Silva,23.0,manaus,08/03/2016,2192.24,viuvo,analista,nan
Ulisses Santos,24.0,Belo Horizonte,05/12/2015,1337.27,solteiro,estagiario,nan
Nina Souza,42.0,curitiba,31/07/2020,1854.94,viuvo,analista,nan
Carla Lima,44.0,Curitiba,10/02/2016,1787.52,solteiro,gestor,nan
Eva Pereira,40.0,rio de janeiro,22/01/2021,2745.03,solteiro,gestor,nan
Paula Souza,43.0,fortaleza,18/09/2016,3294.59,solteiro,gestor,nan
Rita Pereira,45.0,manaus,23/06/2018,2122.44,viuvo,analista,nan
Fabio Santos,36.0,curitiba,12/06/2018,1921.81,casado,cientista de dados,nan
Eva Silva,36.0,Manaus,28/05/2018,1676.94,solteiro,gestor,nan
Yasmin Carvalho,39.0,sao paulo,14/01/2023,3964.19,viuvo,engenheiro de dados,nan
Leo Lima,15.0,rio de janeiro,24/03/2021,2308.32,viuvo,analista,nan
Diego Ferreira,33.0,salvador,01/06/2024,2167.68,solteiro,gestor,nan
Heitor Silva,40.0,manaus,16/05/2018,4300.02,divorciado,cientista de dados,nan
Ana Pereira,25.0,Recife,08/01/2024,3370.33,solteiro,estagiario,nan
Paula Almeida,43.0,curitiba,25/04/2023,1635.35,viuvo,desenvolvedor,nan
Otavio Pereira,25.0,rio de janeiro,07/03/2021,2041.27,divorciado,cientista de dados,nan
Carla Carvalho,35.0,Fortaleza,20/01/2024,-1040.2960654509418,viuvo,desenvolvedor,nan
Leo Oliveira,32.0,manaus,28/04/2021,2297.9,divorciado,engenheiro de dados,nan
Eva Souza,47.0,Belo Horizonte,26/04/2017,,casado,desenvolvedor,nan
Leo Santos,37.0,manaus,04/09/2021,5032.8,viuvo,cientista de dados,nan
Fabio Santos,31.0,salvador,28/11/2024,2616.7,solteiro,desenvolvedor,nan
Otavio Santos,10.0,rio de janeiro,17/03/2024,2188.86,casado,desenvolvedor,nan
Gabi Oliveira,,Sao Paulo,08/07/2018,4165.33,viuvo,desenvolvedor,nan
Bruno Oliveira,55.0,manaus,13/06/2023,1839.39,viuvo,engenheiro de dados,nan
Leo Rodrigues,32.0,Salvador,07/08/2022,2481.7,divorciado,analista,nan
Zeca Silva,40.0,belo  horizonte,17/08/2015,9626.74,solteiro,desenvolvedor,nan
Bruno Silva,35.0,Belo Horizonte,17/12/2017,2864.62,viuvo,engenheiro de dados,nan
Rita Santos,,curitiba,29/06/2020,2399.48,casado,,nan
Marta Carvalho,,manaus,13/11/2015,6554.68,casado,gestor,(11) 94952-1321
Fabio Oliveira,41.0,belo  horizonte,24/05/2018,3410.83,solteiro,estagiario,nan
Otavio Oliveira,33.0,curitiba,04/09/2015,2195.96,viuvo,engenheiro de dados,nan
  GABI FERREIRA  ,34.0,fortaleza,02/05/2023,4202.9,solteiro,estagiario,nan
Ana Rodrigues,42.0,salvador,04/12/2020,3098.03,solteiro,desenvolvedor,nan
Zeca Ferreira,23.0,manaus,28/05/2023,2253.97,casado,gestor,nan
Zeca Rodrigues,34.0,manaus,14/07/2020,4628.99,viuvo,gestor,nan
Saulo Santos,34.0,rio de janeiro,05/12/2015,4711.55,viuvo,engenheiro de dados,nan
Bruno Almeida,28.0,fortaleza,18/11/2016,3156.85,viuvo,gestor,nan
Vera Pereira,28.0,curitiba,29/04/2018,5603.69,casado,engenheiro de dados,nan
  IRIS CARVALHO  ,30.0,curitiba,27/11/2021,2979.17,divorciado,analista,nan
Zeca Rodrigues,19.0,manaus,31/08/2015,7026.55,viuvo,estagiario,nan
Zeca Almeida,,Rio De Janeiro,07/04/2022,3275.86,casado,analista,nan
Yasmin Pereira,28.0,rio de janeiro,30/07/2021,1331.15,solteiro,desenvolvedor,nan
Vera Pereira,43.0,belo  horizonte,24/07/2022,5113.68,divorciado,desenvolvedor,nan
  SAULO RODRIGUES  ,59.0,belo  horizonte,12/02/2019,2979.02,viuvo,engenheiro de dados,nan
Fabio Santos,19.0,rio de janeiro,25/06/2016,2564.86,,engenheiro de dados,nan
Ana Carvalho,,curitiba,21/08/2017,1763.65,solteiro,engenheiro de dados,nan
Zeca Rodrigues,35.0,curitiba,10/04/2017,,casado,desenvolvedor,nan
Otavio Rodrigues,43.0,sao paulo,01/10/2023,1780.81,solteiro,analista,nan
Bruno Pereira,50.0,salvador,08/02/2015,4880.41,viuvo,analista,nan
Yasmin Pereira,25.0,manaus,06/11/2018,6623.29,viuvo,desenvolvedor,nan
Leo Souza,25.0,,27/07/2018,1419.64,casado,gestor,nan
Marta Oliveira,35.0,sao paulo,12/09/2019,2600.66,divorciado,estagiario,nan
Zeca Souza,39.0,Fortaleza,04/01/2021,7016.08,divorciado,analista,nan
Ana Souza,31.0,recife,23/10/2018,2083.67,divorciado,engenheiro de dados,nan
Zeca Oliveira,20.0,manaus,29/06/2025,2875.44,casado,analista,nan
Paula Almeida,50.0,manaus,06/12/2015,4214.1,divorciado,desenvolvedor,nan
Rita Ferreira,33.0,recife,15/09/2023,3114.29,viuvo,gestor,nan
  IRIS RODRIGUES  ,17.0,,21/06/2018,5785.49,casado,estagiario,nan
  IRIS OLIVEIRA  ,34.0,belo  horizonte,22/03/2018,6483.47,casado,gestor,nan
Will Rodrigues,33.0,manaus,10/09/2021,4273.87,solteiro,desenvolvedor,nan
Carla Silva,37.0,fortaleza,05/04/2019,4352.54,divorciado,analista,nan
Fabio Rodrigues,51.0,curitiba,22/04/2017,3238.37,casado,desenvolvedor,nan
Bruno Almeida,,rio de janeiro,05/05/2021,1954.67,casado,engenheiro de dados,nan
Gabi Souza,26.0,fortaleza,05/08/2020,,casado,engenheiro de dados,nan
Will Pereira,,Belo Horizonte,24/02/2022,5074.1,casado,gestor,nan
Heitor Oliveira,42.0,Recife,25/01/2017,2809.85,solteiro,gestor,nan
Ana Silva,48.0,salvador,30/12/2027,2200.03,casado,engenheiro de dados,nan
Carla Ferreira,22.0,Recife,27/06/2020,,casado,engenheiro de dados,nan
Gabi Lima,20.0,Sao Paulo,28/07/2024,4061.01,viuvo,gestor,nan
Marta Pereira,45.0,curitiba,17/05/2015,3909.29,solteiro,desenvolvedor,nan
Joao Almeida,22.0,curitiba,14/06/2024,2479.78,viuvo,estagiario,nan
Rita Rodrigues,41.0,manaus,19/01/2016,4165.9,solteiro,analista,nan
Tania Souza,39.0,fortaleza,19/07/2023,3167.6,solteiro,analista,nan
Katia Rodrigues,42.0,recife,01/12/2024,2697.91,,analista,nan
Bruno Lima,33.0,fortaleza,22/03/2018,3146.6,viuvo,estagiario,nan
  JOAO LIMA  ,28.0,curitiba,04/09/2024,,divorciado,cientista de dados,nan
Diego Silva,30.0,rio de janeiro,05/07/2024,2801.05,divorciado,engenheiro de dados,nan
  YASMIN PEREIRA  ,35.0,,06/08/2021,2091.25,viuvo,analista,nan
Ulisses Almeida,29.0,curitiba,02/02/2018,2939.58,solteiro,estagiario,nan
Iris Almeida,39.0,curitiba,31/03/2021,2986.8,solteiro,estagiario,(11) 95526-2899
Bruno Pereira,36.0,curitiba,20/08/2023,3283.95,casado,analista,nan
Carla Souza,10.0,rio de janeiro,13/09/2017,4864.3,divorciado,analista,nan
Gabi Rodrigues,39.0,,20/08/2017,4040.3,viuvo,gestor,nan
Vera Oliveira,45.0,belo  horizonte,21/02/2019,3533.07,solteiro,engenheiro de dados,nan
Joao Almeida,43.0,salvador,10/09/2022,3805.38,viuvo,estagiario,nan
Xavier Souza,30.0,fortaleza,19/05/2019,3528.55,viuvo,cientista de dados,nan
Will Souza,43.0,curitiba,15/02/2017,6388.46,viuvo,,nan
Iris Souza,32.0,salvador,20/07/2023,4541.24,divorciado,estagiario,nan
Will Lima,40.0,manaus,25/06/2019,2923.54,divorciado,engenheiro de dados,nan
Joao Silva,,belo  horizonte,22/05/2016,2347.47,viuvo,desenvolvedor,nan
Ulisses Ferreira,20.0,fortaleza,07/06/2016,5557.45,divorciado,cientista de dados,nan
Zeca Rodrigues,37.0,belo  horizonte,25/03/2018,2340.52,divorciado,gestor,nan
  PAULA SOUZA  ,38.0,Sao Paulo,21/06/2019,2060.07,divorciado,gestor,nan
Yasmin Oliveira,21.0,curitiba,07/05/2023,2410.23,viuvo,desenvolvedor,nan
Paula Lima,,belo  horizonte,11/12/2018,2868.56,solteiro,cientista de dados,nan
Fabio Santos,35.0,Salvador,20/10/2018,5250.7,divorciado,analista,nan
Vera Souza,34.0,Curitiba,26/04/2022,4643.14,casado,cientista de dados,nan
Katia Lima,26.0,sao paulo,03/11/2018,3117.75,casado,analista,nan
Ana Lima,32.0,fortaleza,21/08/2019,3418.49,viuvo,analista,nan
Gabi Carvalho,36.0,sao paulo,25/11/2022,3372.27,solteiro,engenheiro de dados,nan
Fabio Rodrigues,26.0,sao paulo,06/01/2024,2394.61,solteiro,gestor,nan
Paula Carvalho,26.0,recife,09/11/2019,7114.99,casado,desenvolvedor,nan
Carla Rodrigues,22.0,curitiba,10/05/2019,1651.99,casado,engenheiro de dados,nan
Eva Souza,25.0,recife,15/12/2023,3331.18,casado,engenheiro de dados,nan
Ulisses Oliveira,33.0,rio de janeiro,18/09/2021,2706.04,solteiro,engenheiro de dados,(11) 91957-9613
Saulo Carvalho,39.0,rio de janeiro,28/02/2024,1696.4,casado,estagiario,nan
Saulo Oliveira,49.0,curitiba,11/08/2023,1667.31,divorciado,engenheiro de dados,nan
Diego Pereira,46.0,fortaleza,30/01/2019,1305.73,viuvo,desenvolvedor,nan
Carla Souza,34.0,rio de janeiro,30/04/2017,4117.51,casado,gestor,nan
Joao Oliveira,53.0,salvador,06/12/2023,4074.35,solteiro,engenheiro de dados,nan
Iris Ferreira,39.0,salvador,02/09/2017,2610.2,viuvo,analista,nan
Tania Souza,33.0,belo  horizonte,07/05/2022,849.02,solteiro,desenvolvedor,nan
Xavier Carvalho,40.0,recife,31/10/2021,3022.11,divorciado,engenheiro de dados,(11) 93250-5039
Diego Souza,26.0,salvador,10/01/2018,5944.8,casado,engenheiro de dados,nan
Heitor Carvalho,27.0,Recife,20/02/2022,2218.25,casado,analista,nan
Will Silva,40.0,salvador,25/03/2021,6087.26,solteiro,analista,nan
Iris Carvalho,23.0,,17/04/2021,1794.36,casado,estagiario,nan
Joao Ferreira,32.0,manaus,14/07/2024,2307.33,viuvo,estagiario,nan
Marta Pereira,41.0,salvador,20/01/2016,,divorciado,cientista de dados,nan
Will Santos,43.0,Rio De Janeiro,11/02/2021,2801.06,viuvo,analista,nan
Gabi Oliveira,,salvador,26/05/2017,4425.89,viuvo,analista,nan
Yasmin Oliveira,30.0,fortaleza,26/01/2024,2253.24,viuvo,estagiario,nan
Will Almeida,34.0,,18/07/2023,3192.49,solteiro,analista,nan
Katia Oliveira,26.0,salvador,12/01/2023,2946.21,divorciado,engenheiro de dados,nan
  OTAVIO ALMEIDA  ,29.0,belo  horizonte,17/06/2023,5037.83,solteiro,desenvolvedor,nan
Paula Lima,43.0,belo  horizonte,12/08/2022,1706.34,divorciado,engenheiro de dados,nan
Leo Santos,33.0,fortaleza,29/01/2015,2160.02,solteiro,gestor,nan
Ana Oliveira,37.0,manaus,03/11/2027,2180.59,solteiro,engenheiro de dados,nan
Carla Pereira,46.0,belo  horizonte,13/12/2017,2007.31,viuvo,engenheiro de dados,nan
Joao Carvalho,31.0,rio de janeiro,06/04/2017,2709.73,divorciado,cientista de dados,nan
Tania Oliveira,29.0,sao paulo,20/01/2021,2749.89,viuvo,estagiario,nan
Vera Silva,30.0,rio de janeiro,29/03/2015,1903.48,solteiro,analista,nan
  KATIA OLIVEIRA  ,41.0,recife,14/08/2024,3355.31,divorciado,cientista de dados,nan
Joao Carvalho,23.0,curitiba,10/11/2027,,viuvo,desenvolvedor,nan
Ana Carvalho,22.0,recife,01/07/2024,1754.82,casado,gestor,nan
Eva Pereira,36.0,belo  horizonte,26/12/2019,1671.44,viuvo,analista,nan
Otavio Lima,30.0,sao paulo,28/06/2015,3509.19,solteiro,cientista de dados,nan
Iris Pereira,44.0,salvador,02/08/2024,4190.57,solteiro,desenvolvedor,(11) 94190-6481
Zeca Rodrigues,43.0,fortaleza,31/08/2019,2284.41,solteiro,estagiario,nan
Ana Lima,39.0,belo  horizonte,20/02/2015,4589.59,casado,engenheiro de dados,nan
Ulisses Rodrigues,35.0,manaus,27/07/2019,3443.01,casado,estagiario,nan
Nina Silva,20.0,salvador,05/04/2020,4348.47,solteiro,cientista de dados,nan
Xavier Almeida,39.0,belo  horizonte,27/11/2016,2535.44,solteiro,estagiario,nan
Eva Ferreira,43.0,fortaleza,21/03/2027,3289.23,solteiro,engenheiro de dados,nan
Joao Pereira,18.0,Salvador,31/08/2020,2469.6,viuvo,estagiario,nan
Will Silva,15.0,Rio De Janeiro,02/02/2023,2126.1,casado,desenvolvedor,nan
Zeca Pereira,22.0,curitiba,13/01/2017,2809.15,solteiro,desenvolvedor,nan
Heitor Carvalho,,sao paulo,11/08/2017,1965.57,viuvo,estagiario,nan
  EVA LIMA  ,37.0,fortaleza,23/09/2020,4665.69,solteiro,engenheiro de dados,nan
Gabi Santos,28.0,salvador,01/06/2024,2016.7,casado,engenheiro de dados,nan
Eva Oliveira,36.0,sao paulo,08/11/2017,1626.76,solteiro,estagiario,nan
Will Souza,33.0,salvador,19/05/2022,2567.2,viuvo,desenvolvedor,nan
Marta Carvalho,37.0,rio de janeiro,18/04/2018,1526.85,solteiro,estagiario,nan
Heitor Santos,38.0,rio de janeiro,30/06/2015,1759.8,solteiro,engenheiro de dados,(11) 96604-2589
Ana Souza,30.0,recife,05/10/2019,1641.45,divorciado,cientista de dados,nan
Fabio Carvalho,40.0,manaus,12/03/2015,2742.9,solteiro,gestor,nan
Joao Almeida,22.0,recife,15/06/2022,35496.32,solteiro,desenvolvedor,nan
Otavio Santos,27.0,fortaleza,10/01/2025,3442.13,solteiro,desenvolvedor,nan
Paula Silva,18.0,rio de janeiro,22/10/2023,4226.22,divorciado,analista,nan
Will Ferreira,39.0,belo  horizonte,05/08/2017,2506.67,solteiro,engenheiro de dados,nan
Bruno Silva,32.0,sao paulo,20/06/2015,2387.54,solteiro,gestor,nan
Rita Oliveira,39.0,recife,20/11/2017,,divorciado,engenheiro de dados,nan
Otavio Rodrigues,43.0,sao paulo,01/10/2023,1780.81,solteiro,analista,nan
Eva Carvalho,33.0,rio de janeiro,18/08/2024,2766.95,viuvo,cientista de dados,nan
Yasmin Souza,25.0,Belo Horizonte,30/04/2023,4475.52,divorciado,cientista de dados,nan
Iris Ferreira,50.0,Rio De Janeiro,09/03/2021,2548.35,solteiro,analista,nan
Otavio Oliveira,28.0,sao paulo,09/09/2019,4333.51,viuvo,desenvolvedor,nan
Katia Carvalho,37.0,curitiba,25/08/2018,5169.84,divorciado,desenvolvedor,nan
Saulo Oliveira,27.0,rio de janeiro,01/08/2025,6093.69,viuvo,engenheiro de dados,nan
